name,nig,h,m,s,dd,dm,ds,V,B,kkk
HD  43358,--,6,15,53.973,1,10,8.68,6.357,6.792,
HD  43544,--,6,16,7.692,-16,37,4.82,5.91,5.75,
HD  44120,--,6,16,18.786,-59,12,48.61,6.43,7.02,
*   8 Gem,--,6,16,19.047,23,58,12.11,6.075,6.984,
HD  43335,--,6,16,23.792,17,10,53.79,6.37,7.95,
* kap Col,--,6,16,33.135,-35,8,25.86,4.37,5.37,
HD  43847,--,6,16,35.588,-39,15,51.81,5.983,6.152,
*   9 Gem,--,6,16,58.706,23,44,27.29,6.25,6.7,
HD  43899,--,6,17,1.232,-37,44,14.8,5.534,6.666,
HD  43745,--,6,17,3.598,-22,42,54.83,6.04,6.63,
* l Ori  ,--,6,17,6.62,9,56,32.62,5.386,5.482,
HD  43940,--,6,17,9.564,-37,15,12.78,5.872,6.016,
HD  43827,--,6,17,41.724,-16,48,57.26,5.148,6.421,
HD  44267,--,6,17,51.745,-52,43,58.91,6.387,7.85,
*   1 Lyn,--,6,17,54.819,61,30,55.03,5.05,6.89,
HD  43683,--,6,18,5.609,14,22,58.3,6.125,6.146,
HD  43955,--,6,18,13.728,-19,58,1.1,5.501,5.333,
*  43 Aur,--,6,18,16.865,46,21,37.59,6.323,7.475,
HD  43821,--,6,18,40.355,9,2,49.76,6.225,7.092,
HD  44021,--,6,18,48.792,-15,1,29.86,6.06,7.72,
HD  43993,--,6,18,50.583,-9,23,24.07,5.352,6.59,
HD  42818,--,6,18,50.776,69,19,11.23,4.757,4.77,
HD  44081,--,6,18,58.975,-20,55,32.19,5.8,5.66,
V* V1155 ,Ori              ,6,19,1.84,17,19,30.99,6.32,6.25,
HD  44037,--,6,19,7.932,-8,35,9.65,6.22,6.17,
*   2 Lyn,--,6,19,37.385,59,0,39.47,4.434,4.462,
HD  44225,--,6,19,38.17,-22,6,11.23,6.27,7.75,
HD  44323,--,6,19,40.957,-34,23,47.73,5.749,5.666,
*   7 Mon,--,6,19,42.8,-7,49,22.45,5.252,5.069,
HD  44131,--,6,19,59.601,-2,56,40.18,4.899,6.5,
HD  44033,--,6,20,4.224,14,39,4.06,5.658,7.224,
* zet CMa,--,6,20,18.792,-30,3,48.12,3,2.83,
HD  44379,--,6,20,35.158,-23,38,16.67,6.48,7.62,
HD  44506,--,6,20,36.24,-34,8,38.92,5.521,5.336,
HD  44394,--,6,21,5.429,-11,49,2.39,6.32,8,
HD  44092,--,6,21,11.917,29,32,26.93,6.404,6.441,
HD  44458,--,6,21,24.716,-11,46,23.66,5.55,5.56,
HD  44333,--,6,21,25.77,2,16,6.68,6.28,6.539,
HD  44234,--,6,21,25.919,17,45,48.46,6.28,7.38,
*  45 Aur,--,6,21,46.131,53,27,7.84,5.333,5.774,
*   4 Lyn,--,6,22,3.551,59,22,19.55,6.07,6.21,
* del Col,--,6,22,6.817,-33,26,10.96,3.85,4.73,
HD  44497,--,6,22,36.392,12,34,12.86,6,6.3,
* pi.01 D,or               ,6,22,38.276,-69,59,2.56,5.542,7.054,
* bet CMa,--,6,22,41.985,-17,57,21.31,1.97,1.73,
* nu. Pic,--,6,22,55.833,-56,22,11.88,5.598,5.834,
* mu. Gem,--,6,22,57.627,22,30,48.9,2.87,4.51,
HD  45461,--,6,23,1.455,-63,40,59.28,6.278,7.914,
HD  44061,--,6,23,6.369,56,58,34.86,6.47,7.56,
HD  44956,--,6,23,14.474,-31,47,25.13,6.319,7.206,
HD  44700,--,6,23,18.492,3,45,52.17,6.385,6.251,
V* V721 M,on               ,6,23,35.918,-9,52,29.03,6.134,7.926,
* eps Mon, A               ,6,23,46.092,4,35,34.29,4.398,4.583,
HD  44891,--,6,23,46.145,-15,4,16.51,6.221,7.762,
HD  45450,--,6,23,46.927,-58,32,37.94,6.467,6.577,
HD  45018,--,6,23,55.911,-25,34,39.44,5.6,7.162,
* alf Car,--,6,23,57.11,-52,41,44.38,0.74,0.59,
HD  45145,--,6,24,1.01,-36,42,27.95,5.619,6.645,
HD  44783,--,6,24,2.283,8,53,6.05,6.219,6.155,
HD  44951,--,6,24,10.32,-11,31,48.32,5.207,6.434,
HD  45557,--,6,24,13.842,-60,16,52.76,5.766,5.767,
HD  44996,--,6,24,20.577,-12,57,42.95,6.12,6.04,
HD  45701,--,6,24,26.602,-63,25,44.42,6.46,7.12,
HD  44780,--,6,24,43.747,25,2,55.4,6.345,7.536,
HD  45184,--,6,24,43.88,-28,46,48.42,6.39,7.01,
HD  45306,--,6,24,44.496,-40,17,2.33,6.292,6.245,
HD  44867,--,6,24,52.771,16,3,25.67,6.35,7.39,
* psi01 A,ur               ,6,24,53.902,49,17,16.41,4.75,6.67,
HD  45796,--,6,24,55.797,-63,49,41.32,6.249,6.124,
V* T Mon ,--,6,25,13,7,5,8.56,5.98,7.2,
HD  45067,--,6,25,16.546,0,56,45.18,5.9,6.43,
V* BL Ori,--,6,25,28.173,14,43,19.19,6,8.31,
* pi.02 D,or               ,6,25,28.631,-69,41,25.08,5.38,6.35,
HD  45383,--,6,25,30.005,-35,3,50.94,6.243,7.599,
HD  44927,--,6,25,32.939,23,19,37.81,6.05,6.06,
* G Pup  ,--,6,25,43.653,-48,10,36.84,5.76,5.7,
HD  45168,--,6,25,47.134,-3,53,20.46,6.309,7.335,
