name,nig,h,m,s,dd,dm,ds,V,B,kkk
* iot Cyg,--,19,29,42.359,51,43,47.21,3.755,3.899,
HD 183275,--,19,29,52.187,-26,59,8.19,5.49,6.62,
HD 182893,--,19,29,52.61,-55,26,30.31,6.127,7.112,
HD 183589,--,19,30,10.535,2,54,14.66,6.042,7.839,
HD 183656,--,19,30,33.122,3,26,39.86,6.082,6.064,
* mu. Tel,--,19,30,34.612,-55,6,36.19,6.285,6.714,
* e Aql  ,--,19,30,39.836,-2,47,19.99,5.03,6.78,
* bet Cyg, A               ,19,30,43.281,27,57,34.85,3.085,4.171,
* bet Cyg, B               ,19,30,45.396,27,57,54.97,5.11,5.01,
HD 183986,--,19,30,46.83,36,13,42.66,6.258,6.24,
HD 183545,--,19,30,54.047,-21,18,44.06,6.13,6.25,
HD 184958,--,19,31,0.27,70,59,21.63,6.062,7.486,
HD 182709,--,19,31,10.97,-68,26,2.12,5.961,7.618,
V* V1817 ,Cyg              ,19,31,13.556,55,43,54.61,6.369,7.489,
HD 184293,--,19,31,19.331,50,18,24.14,5.54,6.814,
HD 184010,--,19,31,21.622,26,37,1.82,5.893,6.811,
*   8 Cyg,--,19,31,46.322,34,27,10.69,4.72,4.6,
HD 183577,--,19,32,14.002,-44,32,46.98,6.48,6.99,
* sig Dra,--,19,32,21.59,69,39,40.23,4.68,5.46,
HD 183552,--,19,32,53.824,-53,11,8.22,5.744,6.051,
IRAS 1932,3+6002           ,19,33,10.069,60,9,31.29,6.29,7.86,
V* PW Tel,--,19,33,21.622,-45,16,18.41,5.583,5.562,
V* V1743 ,Cyg              ,19,33,41.606,49,15,44.35,5.96,7.6,
V* V450 A,ql               ,19,33,46.032,5,27,56.53,6.48,8,
* mu. Aql,--,19,34,5.354,7,22,44.18,4.45,5.63,
V* V4089 ,Sgr              ,19,34,8.486,-40,2,4.71,5.91,6,
HD 184268,--,19,34,33.941,-23,51,31.79,6.475,8.154,
*   9 Vul,--,19,34,34.896,19,46,24.24,5,4.91,
HD 184875,--,19,34,41.262,42,24,45.04,5.336,5.396,
HD 185394,--,19,34,46.35,63,26,3.02,6.46,7.8,
*   9 Cyg,--,19,34,50.928,29,27,46.7,5.407,5.96,
HD 185114,--,19,35,1.234,52,30,7.26,6.38,7.51,
*  37 Aql,--,19,35,7.258,-10,33,37.6,5.12,6.213,
* iot Tel,--,19,35,12.986,-48,5,57.12,4.879,5.977,
HD 184663,--,19,35,25.132,2,54,48.99,6.368,6.77,
HD 184573,--,19,35,29.805,-7,27,37.01,6.325,7.444,
HD 184574,--,19,35,33.46,-12,15,11.21,6.271,7.367,
*  11 Cyg,--,19,35,48.304,36,56,40.34,6.034,5.939,
HD 185264,--,19,35,55.946,50,14,19.02,6.46,7.53,
* h01 Sgr,--,19,36,1.653,-24,43,8.69,5.64,5.809,
HD 184961,--,19,36,8.349,22,35,8.75,6.319,6.267,
HD 184944,--,19,36,15.682,14,23,27.84,6.364,7.411,
V* V4333 ,Sgr              ,19,36,26.076,-18,51,10.52,6.12,6.39,
* tet Cyg,--,19,36,26.534,50,13,15.96,4.48,4.86,
HD 185351,--,19,36,37.976,44,41,41.76,5.169,6.109,
* h02 Sgr,--,19,36,42.433,-24,53,1.03,4.598,4.528,
* iot Aql,--,19,36,43.277,-1,17,11.78,4.36,4.28,
HD 185018,--,19,36,52.455,11,16,23.51,5.975,6.834,
* kap Aql,--,19,36,53.45,-7,1,38.92,4.96,4.93,
HD 185330,--,19,36,56.649,38,23,1.76,6.5,6.368,
HD 184835,--,19,37,3.341,-18,13,51.8,5.642,6.887,
HD 185268,--,19,37,9.618,29,20,1.32,6.43,6.34,
* eps Sge,--,19,37,17.393,16,27,46.09,5.659,6.663,
HD 184985,--,19,37,34.413,-14,18,6.49,5.451,5.938,
HD 185435,--,19,37,40.816,35,1,21.13,6.42,7.99,
*  42 Aql,--,19,37,47.318,-4,38,51.51,5.68,6.07,
HD 185657,--,19,37,56.708,49,17,3.82,6.46,7.48,
HD 185436,--,19,38,17.79,20,47,0.21,6.488,7.535,
HD 184585,--,19,38,25.953,-57,59,0.02,6.187,7.175,
HD 185423,--,19,38,48.991,3,22,53.49,6.358,6.355,
* sig Aql,--,19,39,11.643,5,23,51.97,5.17,5.2,
* phi Cyg,--,19,39,22.606,30,9,11.94,4.673,5.642,
V* V340 S,ge               ,19,39,25.335,16,34,16.04,6.344,8.33,
*  14 Cyg,--,19,39,26.488,42,49,5.78,5.4,5.32,
HD 185955,--,19,39,34.537,45,57,26.78,6.245,7.171,
V* QQ Tel,--,19,39,41.779,-45,16,42.79,6.26,6.53,
HD 185837,--,19,39,44.922,33,58,44.18,6.09,6.19,
*  53 Sgr,--,19,39,49.457,-23,25,39.66,6.321,6.352,
HD 184586,--,19,39,52.182,-66,41,7.82,6.37,6.398,
* alf Sge,--,19,40,5.792,18,0,50,4.38,5.16,
HD 185467,--,19,40,7.164,-23,25,44.7,5.957,7.001,
HD 186340,--,19,40,13.197,60,30,25.59,6.5,6.71,
HD 185075,--,19,40,18.719,-54,25,4.05,6.26,7.26,
HD 186121,--,19,40,41.15,43,4,40.18,6.16,7.72,
*  45 Aql,--,19,40,43.319,0,37,16.39,5.637,5.729,
* e01 Sgr,--,19,40,43.383,-16,17,35.78,5.296,6.415,
HD 186155,--,19,40,50.184,45,31,29.79,5.056,5.468,
* bet Sge,--,19,41,2.94,17,28,33.75,4.38,5.43,
V* QS Aql,--,19,41,5.528,13,48,56.45,5.996,5.907,
HD 186021,--,19,41,14.649,22,27,9.98,6.391,7.901,
HD 184996,--,19,41,37.265,-65,51,15.89,6.074,7.639,
*  16 Cyg, A               ,19,41,48.954,50,31,30.22,5.95,6.59,
*  16 Cyg, B               ,19,41,51.973,50,31,3.09,6.2,6.86,
HD 186307,--,19,41,57.616,40,15,14.93,6.23,6.4,
HD 185966,--,19,42,2.922,-9,11,37.16,6.29,7.63,
V* V1351 ,Cyg              ,19,42,4.147,55,27,47.6,6.48,8.09,
*  46 Aql,--,19,42,12.812,12,11,35.74,6.321,6.234,
* e02 Sgr,--,19,42,31.134,-16,7,26.39,5.045,5.362,
* chi Aql,--,19,42,34.008,11,49,35.7,5.31,5.87,
HD 186377,--,19,42,44.606,32,25,36.27,5.925,6.03,
HD 186440,--,19,43,9.598,30,40,40.4,6.075,6.071,
HD 186506,--,19,43,10.767,38,40,18.17,6.36,7.58,
HD 186760,--,19,43,14.419,58,0,59.82,6.295,6.871,
HD 186185,--,19,43,33.548,-15,28,12.08,5.49,5.95,
HD 186042,--,19,43,37.619,-37,32,19.55,6.131,6.122,
HD 186815,--,19,43,39.497,57,2,33.77,6.282,7.179,
*  10 Vul,--,19,43,42.916,25,46,18.83,5.497,6.433,
HD 186619,--,19,43,45.096,41,46,23.19,5.84,7.41,
HD 186568,--,19,43,51.452,34,9,45.8,6.053,5.979,
V* PS Vul,--,19,43,55.972,27,8,7.47,6.364,7.417,
*  15 Cyg,--,19,44,16.605,37,21,15.68,4.887,5.83,
HD 187340,--,19,44,18.417,69,20,13.42,5.899,5.952,
* psi Aql,--,19,44,34.191,13,18,10.01,6.243,6.197,
V* V2090 ,Cyg              ,19,44,38.173,34,24,50.99,6.35,8,
HD 186535,--,19,44,41.298,8,43,35.53,6.428,7.379,
V* SU Cyg,--,19,44,48.736,29,15,52.89,6.44,6.88,
V* V973 C,yg               ,19,44,49.039,40,43,0.49,6.37,7.99,
* del Cyg,--,19,44,58.479,45,7,50.92,2.87,2.85,
HD 186901,--,19,45,39.655,36,5,27.7,6.379,6.329,
* ups Aql,--,19,45,39.947,7,36,47.36,5.91,6.09,
HD 186927,--,19,45,51.356,35,0,45.91,6.098,7.176,
HD 186660,--,19,45,52.234,-2,53,0.44,6.48,6.53,
HD 186500,--,19,46,1.221,-31,54,30.81,5.512,5.521,
* gam Aql,--,19,46,15.58,10,36,47.74,2.72,4.23,
* f Sgr  ,--,19,46,21.739,-19,45,40.01,4.873,5.93,
HD 187038,--,19,46,35.01,32,53,18.93,6.179,7.366,
V* CN Dra,--,19,46,44.683,68,26,16.83,6.331,6.625,
* del Sge,--,19,47,23.267,18,32,3.52,3.82,5.23,
HD 187372,--,19,47,26.829,47,54,27.26,6.12,7.76,
HD 187235,--,19,47,27.78,38,24,27.41,5.824,5.728,
HD 187193,--,19,47,48.541,25,23,2.61,6.001,7.005,
* nu. Tel,--,19,48,1.197,-56,21,45.41,5.33,5.516,
HD 186984,--,19,48,3.025,-13,42,13.01,6.102,6.292,
* eps Dra,--,19,48,10.351,70,16,4.55,3.84,4.73,
HD 187203,--,19,48,30.514,10,41,38.75,6.457,7.377,
* pi. Aql,--,19,48,42.136,11,48,57.05,5.74,6.23,
HD 187150,--,19,48,50.173,-12,19,9.91,6.46,8.14,
V* V1765 ,Cyg              ,19,48,50.598,33,26,14.22,6.463,6.578,
HD 186756,--,19,48,55.088,-52,53,17.2,6.25,7.38,
* zet Sge,--,19,48,58.66,19,8,31.35,5.034,5.105,
HD 187195,--,19,49,2.204,-10,52,14.78,6.04,7.28,
HD 187098,--,19,49,11.611,-28,47,20.3,6.031,6.417,
HD 186219,--,19,49,25.3,-72,30,12.16,5.392,5.628,
HD 187638,--,19,49,27.504,38,42,36.53,6.117,7.026,
HD 186584,--,19,49,53.419,-66,48,47.05,6.422,7.903,
V* V379 V,ul               ,19,49,54.721,28,26,22.82,6.444,6.331,
HD 187614,--,19,49,55.833,27,5,6.65,6.466,7.392,
HD 187086,--,19,50,14.061,-47,33,26.6,5.895,7.554,
HD 187567,--,19,50,17.479,7,54,8.69,6.478,6.389,
HD 186837,--,19,50,21.757,-61,3,40.03,6.206,6.063,
* chi Cyg,--,19,50,33.916,32,54,50.56,4.24,6.06,
*  19 Cyg,--,19,50,33.995,38,43,20.7,5.12,6.81,
V* V380 C,yg               ,19,50,37.327,40,35,59.13,5.68,5.613,
* d Cyg  ,--,19,50,37.724,52,59,16.79,5.03,6.31,
HD 186957,--,19,50,44.803,-59,11,37.21,5.42,5.5,
* alf Aql,--,19,50,46.999,8,52,5.96,0.76,0.98,
*  51 Aql,--,19,50,46.784,-10,45,48.64,5.39,5.77,
V* V2093 ,Cyg              ,19,50,46.872,37,49,34.77,6.06,7.76,
V* NZ Pav,--,19,51,1.236,-65,36,18.32,6.022,6.318,
*  12 Vul,--,19,51,4.109,22,36,36.17,4.96,4.84,
HD 187660,--,19,51,11.098,-2,27,39.56,6.13,7.7,
HD 187753,--,19,51,17.728,9,37,47.61,6.233,6.334,
HD 188074,--,19,51,19.379,47,22,38.05,6.215,6.591,
V* V3961 ,Sgr              ,19,51,50.611,-39,52,27.72,5.33,5.27,
HD 188209,--,19,51,59.069,47,1,38.42,5.63,5.55,
HD 187982,--,19,52,1.594,24,59,31.77,5.57,6.28,
HD 188252,--,19,52,7.167,47,55,54.46,5.897,5.722,
*  57 Sgr,--,19,52,11.998,-19,2,41.93,5.896,6.862,
HD 188149,--,19,52,16.414,36,25,56.25,6.1,7.53,
*   9 Sge,--,19,52,21.765,18,40,18.75,6.23,6.24,
* eta Aql,--,19,52,28.37,1,0,20.38,3.8,4.61,
HD 187420,--,19,52,37.721,-54,58,15.71,5.705,6.587,
HD 187421,--,19,52,39.131,-54,58,35.2,6.366,6.507,
HD 188439,--,19,53,1.246,47,48,27.79,6.279,6.147,
V* V505 S,gr               ,19,53,6.382,-14,36,11.48,6.48,6.62,
*  23 Cyg,--,19,53,17.379,57,31,24.48,5.132,5.001,
V* V1291 ,Aql              ,19,53,18.736,-3,6,52.07,5.619,5.837,
HD 188793,--,19,53,35.43,59,42,31.16,6.058,6.084,
*  56 Aql,--,19,54,8.276,-8,34,27.17,5.79,7.43,
* ksi Aql,--,19,54,14.882,8,27,41.23,4.707,5.759,
HD 188088,--,19,54,17.745,-23,56,27.86,6.213,7.263,
HD 188485,--,19,54,31.073,24,19,9.72,5.52,5.5,
*  57 Aql, A               ,19,54,37.652,-8,13,38.24,5.71,5.63,
*  57 Aql, B               ,19,54,38.063,-8,14,13.39,6.44,6.42,
HD 188385,--,19,54,40.2,7,8,25.27,6.127,6.165,
HD 187653,--,19,54,40.441,-61,10,14.84,6.205,6.37,
*  58 Aql,--,19,54,44.795,0,16,25.05,5.631,5.703,
HD 188650,--,19,54,48.251,36,59,44.43,5.781,6.549,
HD 188158,--,19,55,5.104,-33,2,46.52,6.47,7.97,
* iot Sgr,--,19,55,15.697,-41,52,5.84,4.13,5.21,
* bet Aql,--,19,55,18.793,6,24,24.34,3.71,4.56,
HD 189127,--,19,55,22.066,58,15,0.69,6.1,7.119,
* psi Cyg,--,19,55,37.786,52,26,20.21,4.92,5.04,
* ome Sgr,--,19,55,50.363,-26,17,57.69,4.7,5.45,
*  22 Cyg,--,19,55,51.757,38,29,12.15,4.946,4.846,
HD 189276,--,19,55,55.379,58,50,45.48,4.96,6.51,
V* RR Sgr,--,19,55,56.437,-29,11,24.1,6.15,7.66,
*  10 Sge,--,19,56,1.261,16,38,5.24,5.36,6.03,
HD 186154,--,19,56,1.699,-81,20,59.42,6.383,7.803,
* phi Aql,--,19,56,14.252,11,25,25.39,5.278,5.283,
* eta Cyg,--,19,56,18.372,35,5,0.32,3.88,4.91,
HD 189296,--,19,56,19.052,56,41,13.3,6.16,6.25,
HD 189066,--,19,56,44.143,36,15,2.14,6.009,5.87,
HD 189253,--,19,56,45.173,50,54,9.07,6.455,6.451,
* b Sgr  ,--,19,56,56.832,-27,10,11.64,4.528,5.98,
HD 188162,--,19,57,6.308,-58,54,4.87,5.241,5.248,
HD 189178,--,19,57,13.868,40,22,4.17,5.455,5.352,
*  11 Sge,--,19,57,45.446,16,47,20.97,5.534,5.48,
HD 189377,--,19,57,56.114,42,15,38.78,6.45,6.52,
* g Sgr  ,--,19,57,57.021,-15,29,29.33,4.998,5.058,
HD 189900,--,19,58,28.726,63,32,2.81,6.15,6.19,
CCDM J195,86+3806AB        ,19,58,34.358,38,6,20.5,6.32,6.23,
HD 189395,--,19,58,37.981,30,59,1.18,5.502,5.439,
HD 188097,--,19,58,41.291,-69,9,50.24,5.724,5.954,
HD 190252,--,19,58,41.85,70,22,1.02,6.323,7.186,
* gam Sge,--,19,58,45.429,19,29,31.73,3.47,5.04,
HD 188164,--,19,58,52.985,-68,45,45.3,6.374,6.529,
HD 188981,--,19,58,56.428,-30,32,18.2,6.28,7.341,
*  60 Sgr, A               ,19,58,57.203,-26,11,44.76,4.846,5.735,
*  14 Vul,--,19,59,10.537,23,6,4.57,5.66,5.99,
HD 189337,--,19,59,12.055,11,18,20.05,6.5,7.61,
V* V2100 ,Cyg              ,19,59,15.347,52,3,20.49,6.125,5.954,
HD 189684,--,19,59,20.419,45,46,21.08,5.933,6.094,
HD 189322,--,19,59,22.641,1,22,39.71,6.18,7.29,
*  69 Dra,--,19,59,36.626,76,28,53.01,6.2,7.81,
* tet01 S,gr               ,19,59,44.178,-35,16,34.7,4.37,4.22,
HD 189340,--,19,59,47.28,-9,57,29.63,5.88,6.46,
* tet02 S,gr               ,19,59,51.357,-34,41,52.08,5.299,5.465,
*  25 Cyg,--,19,59,55.196,37,2,34.39,5.19,5.02,
*  13 Sge,--,20,0,3.308,17,30,59.42,5.35,7,
HD 189671,--,20,0,15.359,26,11,16.39,6.494,7.645,
HD 189195,--,20,0,15.933,-37,42,6.2,5.948,6.933,
HD 189245,--,20,0,20.249,-33,42,12.43,5.66,6.15,
* mu.01 P,av               ,20,0,23.098,-66,56,57.88,5.76,6.8,
HD 189080,--,20,0,25.328,-49,21,3.4,6.176,7.245,
HD 189140,--,20,0,26.486,-43,2,35.9,6.097,7.733,
* eps Pav,--,20,0,35.556,-72,54,37.82,3.94,3.927,
HD 189198,--,20,0,48.323,-45,6,46.52,5.781,6.067,
HD 189695,--,20,0,58.976,8,33,27.85,5.91,7.43,
*  15 Vul,--,20,1,6.048,27,45,12.86,4.651,4.829,
HD 189942,--,20,1,15.308,37,5,56.39,6.214,7.532,
* e Cyg  ,--,20,1,21.565,50,6,16.89,5.048,6.17,
HD 189561,--,20,1,23.847,-22,44,14.31,5.999,6.982,
HD 189388,--,20,1,26.779,-40,48,51.6,6.306,6.412,
* e Dra  ,--,20,1,28.544,64,49,15.49,5.27,6.83,
V* NU Pav,--,20,1,44.745,-59,22,33.22,5.13,6.66,
HD 189944,--,20,1,44.712,24,48,1.46,5.87,5.732,
* mu.02 P,av               ,20,1,52.462,-66,56,38.27,5.331,6.546,
*  63 Sgr,--,20,1,58.599,-13,38,13.98,5.69,5.753,
*  65 Dra,--,20,2,20.217,64,38,3.91,6.25,7.18,
* c Sgr  ,--,20,2,39.481,-27,42,35.44,4.58,6.23,
HD 190227,--,20,2,48.813,31,57,31.79,6.378,7.588,
* rho Dra,--,20,2,49.073,67,52,24.83,4.5,5.81,
HD 190211,--,20,3,16.4,18,30,3.57,5.968,7.375,
*  14 Sge,--,20,3,30.015,16,1,52.51,5.658,5.55,
HD 189831,--,20,3,33.466,-37,56,26.48,4.764,6.176,
HD 190322,--,20,3,38.799,22,56,27.8,6.42,7.46,
HD 190009,--,20,3,44.31,-22,35,44.15,6.428,6.928,
* tau Aql,--,20,4,8.315,7,16,40.67,5.508,6.564,
HD 190056,--,20,4,19.592,-32,3,22.68,4.99,6.2,
*  62 Aql,--,20,4,23.151,0,42,33.51,5.68,6.98,
HD 190781,--,20,4,28.796,48,13,46.8,6.14,6.18,
HD 190603,--,20,4,36.174,32,13,6.95,5.65,6.19,
HD 191174,--,20,4,44.518,63,53,24.73,6.284,6.337,
HD 191372,--,20,4,53.391,68,1,37.77,6.28,7.93,
V* V1401 ,Aql              ,20,5,5.413,-11,35,57.9,6.39,6.88,
HD 190964,--,20,5,6.758,51,50,21.83,6.14,7.74,
* eta Sge,--,20,5,9.493,19,59,27.86,5.093,6.139,
HD 191096,--,20,5,21.492,56,20,29.04,6.18,6.59,
HD 190658,--,20,5,26.546,15,30,1.54,6.34,7.98,
HD 189567,--,20,5,32.765,-67,19,15.23,6.07,6.71,
*  66 Dra,--,20,5,32.879,61,59,43.51,5.408,6.6,
HD 190664,--,20,6,12.215,-4,4,41.5,6.469,7.616,
*  17 Vul,--,20,6,53.408,23,36,51.93,5.056,4.891,
* ksi Tel,--,20,7,23.159,-52,52,50.82,4.94,6.56,
HD 190422,--,20,7,35.09,-55,0,57.65,6.25,6.771,
HD 191243,--,20,7,41.441,34,25,22.46,6.141,6.248,
*  64 Aql,--,20,8,1.822,0,40,41.47,5.968,7.003,
V* V344 S,ge               ,20,8,6.502,16,39,51.79,6.4,8.14,
HD 190580,--,20,8,9.549,-52,34,40.07,6.46,7.16,
HD 190222,--,20,8,20.474,-66,21,16.9,6.46,8.07,
V* AV Cap,--,20,8,31.271,-10,3,45.34,6.174,6.201,
HD 191263,--,20,8,38.279,10,43,33.11,6.339,6.196,
* del Pav,--,20,8,43.609,-66,10,55.44,3.56,4.32,
* kap Cep,--,20,8,53.345,77,42,41.09,4.4,4.35,
HD 190879,--,20,9,3.85,-47,4,4.55,6.457,7.934,
HD 191892,--,20,9,22.359,56,1,36.58,6.49,7.43,
* b02 Cyg,--,20,9,25.619,36,50,22.6,4.93,4.8,
*  18 Vul,--,20,10,33.537,26,54,15,5.507,5.586,
HD 191814,--,20,11,3.542,21,8,4.48,6.24,7.127,
HD 191639,--,20,11,10.078,-8,50,32.44,6.49,6.34,
HD 191408,--,20,11,11.938,-36,6,4.35,5.32,5.44,
* tet Aql,--,20,11,18.285,0,49,17.26,3.22,3.15,
HD 191877,--,20,11,21.017,21,52,29.77,6.269,6.217,
*  68 Dra,--,20,11,34.87,62,4,42.76,5.7,6.205,
*  19 Vul,--,20,11,47.974,26,48,32.37,5.487,6.879,
* ksi01 C,ap               ,20,11,57.898,-12,23,32.65,6.34,7.55,
*  20 Vul,--,20,12,0.702,26,28,43.7,5.92,5.81,
HD 191584,--,20,12,23.84,-42,46,48.22,6.191,7.44,
* ksi Cap,--,20,12,25.871,-12,37,2.99,5.85,6.33,
HD 192439,--,20,12,31.718,51,27,48.83,6.043,7.199,
HD 191984,--,20,12,35.124,0,52,1.39,6.27,6.29,
*  66 Aql,--,20,13,13.872,-1,0,33.77,5.47,6.9,
*  30 Cyg,--,20,13,18.053,46,48,56.41,4.819,4.911,
V* RS Cyg,--,20,13,23.662,38,43,44.47,6.5,9.36,
*  33 Cyg,--,20,13,23.867,56,34,3.8,4.271,4.384,
HD 192781,--,20,13,27.617,60,38,26.05,5.78,7.281,
HD 191732,--,20,13,32.37,-47,42,47.6,6.47,7.73,
*  31 Cyg,--,20,13,37.911,46,44,28.74,3.8,5.08,
HD 192535,--,20,13,42.814,43,22,44.44,6.14,7.64,
HD 192538,--,20,14,4.883,36,36,17.56,6.464,6.448,
*  21 Vul,--,20,14,14.53,28,41,41.34,5.189,5.365,
* rho Aql,--,20,14,16.619,15,11,51.37,4.946,5.006,
HD 191829,--,20,14,19.023,-52,26,44.78,5.632,7.152,
HD 191603,--,20,14,26.906,-63,24,56.84,6.086,6.379,
* b03 Cyg,--,20,14,32.032,36,48,22.68,4.99,5.11,
HD 192685,--,20,15,15.895,25,35,31.05,4.753,4.584,
HD 192310,--,20,15,17.392,-27,1,58.71,5.723,6.63,
HD 192787,--,20,15,23.769,33,43,44.71,5.698,6.632,
* omi02 C,yg               ,20,15,28.322,47,42,51.22,3.98,5.5,
*  22 Vul,--,20,15,30.238,23,30,32.03,5.176,6.192,
HD 192983,--,20,15,43.255,50,13,58.47,6.36,6.45,
*  23 Vul,--,20,15,46.144,27,48,51.1,4.52,5.78,
HD 192433,--,20,15,50.611,-30,0,18.99,6.275,7.805,
HD 192985,--,20,16,0.616,45,34,46.29,5.864,6.281,
HR  7752 ,--,20,16,3.429,38,53,52.82,6.275,6.277,
HD 192699,--,20,16,6.004,4,34,50.86,6.446,7.314,
*  18 Sge,--,20,16,19.788,21,35,55.33,6.11,7.169,
*   3 Cap,--,20,16,22.806,-12,20,13.63,6.299,6.287,
V* V4434 ,Sgr              ,20,16,23.612,-36,27,12.87,6.4,7.87,
HD 192987,--,20,16,28.155,37,3,23.02,6.448,6.355,
*  24 Vul,--,20,16,47.086,24,40,15.96,5.302,6.248,
HD 193092,--,20,16,55.286,40,21,54.27,5.236,6.871,
HD 192895,--,20,17,0.443,8,57,47.59,6.49,6.78,
HD 193217,--,20,17,29.057,42,43,19.42,6.273,7.909,
HD 193094,--,20,17,31.53,29,8,51.22,6.22,7.23,
* alf01 C,ap               ,20,17,38.869,-12,30,29.57,4.27,5.34,
* P Cyg  ,--,20,17,47.202,38,1,58.55,4.82,5.24,
*   4 Cap,--,20,18,1.396,-21,48,35.85,5.851,6.856,
* alf02 C,ap               ,20,18,3.256,-12,32,41.47,3.58,4.51,
HD 193322,--,20,18,6.988,40,43,55.5,5.84,5.94,
HD 193592,--,20,18,24.751,55,23,49.55,5.76,5.87,
*  36 Cyg,--,20,18,28.655,36,59,59.29,5.58,5.64,
*  35 Cyg,--,20,18,39.073,34,58,57.97,5.162,5.803,
HD 193536,--,20,18,49.668,46,19,19.89,6.443,6.314,
HD 192827,--,20,18,55.978,-47,42,38.8,6.28,7.931,
HD 193469,--,20,18,57.537,39,0,15.06,6.3,8.2,
HD 192531,--,20,19,2.999,-63,13,50.67,6.279,7.334,
HD 192886,--,20,19,17.851,-47,34,49.05,6.13,6.59,
* sig Cap,--,20,19,23.604,-19,7,6.7,5.265,6.665,
HD 193373,--,20,19,29.296,13,13,0.36,6.21,7.84,
V* U Cyg ,--,20,19,36.594,47,53,39.09,5.9,1.85,
*  71 Dra,--,20,19,36.727,62,15,26.8,5.709,5.66,
HD 193329,--,20,19,43.265,-1,4,42.65,6.042,7.134,
V* V1584 ,Cyg              ,20,19,56.043,46,50,14.34,6.478,6.385,
HD 193472,--,20,20,0.189,13,32,53.11,5.938,6.251,
V* AC Dra,--,20,20,6.009,68,52,49.14,5.55,7.14,
HD 193556,--,20,20,20.524,14,34,9.32,6.17,7.093,
HD 193579,--,20,20,21.407,17,47,34.53,5.808,7.336,
HD 193281,--,20,20,27.88,-29,11,49.97,6.3,6.47,
HD 193944,--,20,20,30.642,53,35,44.48,6.197,7.769,
HD 193002,--,20,20,32.314,-55,3,3.19,6.259,7.85,
* nu. Cap,--,20,20,39.816,-12,45,32.68,4.76,4.72,
* bet02 C,ap               ,20,20,46.55,-14,47,5.51,6.1,6.08,
HD 193302,--,20,20,51.896,-35,40,25.23,6.463,7.783,
* bet01 C,ap               ,20,21,0.648,-14,46,53.38,3.08,3.87,
HD 194298,--,20,21,11.524,63,58,48.42,5.69,7.25,
HD 192887,--,20,21,28.255,-66,44,58.88,6.5,6.96,
HD 193307,--,20,21,41.036,-49,59,57.9,6.28,6.82,
HD 194069,--,20,22,3.056,41,7,55.69,6.383,7.409,
*  25 Vul,--,20,22,3.431,24,26,45.95,5.56,5.45,
HD 194152,--,20,22,5.363,45,47,41.97,5.572,6.653,
* gam Cyg,--,20,22,13.702,40,15,24.04,2.23,2.9,
* kap01 S,gr               ,20,22,27.502,-42,2,58.43,5.59,5.59,
HD 194097,--,20,22,37.307,31,15,53.88,6.072,7.45,
HD 194193,--,20,22,45.296,41,1,33.64,5.93,7.53,
HD 194012,--,20,22,52.369,14,33,3.95,6.152,6.635,
HD 193896,--,20,23,0.79,-9,39,16.96,6.283,7.194,
HD 194013,--,20,23,10.694,5,20,34.72,5.301,6.279,
HD 194335,--,20,23,44.369,37,28,35.21,5.9,5.7,
*  39 Cyg,--,20,23,51.621,32,11,24.62,4.44,5.77,
* kap02 S,gr               ,20,23,53.177,-42,25,22.34,5.64,5.84,
HD 194668,--,20,24,32.366,53,33,6.94,6.479,6.457,
HD 194244,--,20,24,37.498,1,4,6.25,6.136,6.096,
HD 194263,--,20,24,41.758,1,22,6.83,6.42,8.04,
HD 191220,--,20,24,54.917,-83,18,38.23,6.142,6.352,
HD 194882,--,20,25,5.008,59,36,0.34,6.441,6.523,
HD 194215,--,20,25,26.828,-28,39,47.75,5.858,6.954,
* alf Pav,--,20,25,38.857,-56,44,6.32,1.918,1.791,
HD 194577,--,20,25,40.529,21,24,34.71,5.672,6.603,
HD 194454,--,20,25,42.525,-2,48,1.35,6.1,7.296,
HD 194526,--,20,25,44.114,10,3,21.6,6.307,7.876,
HD 194184,--,20,25,47.929,-40,47,46.27,6.08,7.459,
HD 194616,--,20,26,1.168,19,51,55.78,6.444,7.472,
HD 194578,--,20,26,1.598,13,54,41.8,6.35,7.81,
HD 194688,--,20,26,23.155,17,18,56.01,6.222,7.231,
HD 195066,--,20,26,23.474,56,38,19.3,6.369,6.383,
*  43 Cyg,--,20,27,2.268,49,23,0.1,5.715,6.024,
HD 194951,--,20,27,7.774,34,19,44.65,6.398,6.865,
HD 194841,--,20,27,14.19,20,28,35.35,6.43,7.47,
* pi. Cap,--,20,27,19.201,-18,12,42.1,5.25,5.18,
*  40 Cyg,--,20,27,34.259,38,26,25.26,5.62,5.68,
HD 194937,--,20,28,7.54,8,26,14.81,6.229,7.29,
*  75 Dra,--,20,28,14.583,81,25,21.75,5.368,6.379,
HD 194953,--,20,28,16.777,2,56,13.9,6.195,7.092,
*  68 Aql,--,20,28,24.905,-3,21,28.05,6.121,6.077,
HD 194918,--,20,28,43.59,-15,44,29.39,6.41,7.39,
HD 194783,--,20,28,46.744,-35,35,45.11,6.077,5.98,
* rho Cap,--,20,28,51.614,-17,48,49.27,4.803,5.137,
HD 197508,--,20,29,2.945,83,37,31.49,6.19,6.34,
*  42 Cyg,--,20,29,20.39,36,27,17.01,5.899,6.291,
*  41 Cyg,--,20,29,23.736,30,22,6.8,4.01,4.42,
HD 195554,--,20,29,27.114,56,4,5.46,5.912,5.846,
HD 195006,--,20,29,31.341,-22,23,29.64,6.126,7.693,
