n,h,m,s,znak,dd,dm,ds,mV,B-V
--,1,53,23.2,-,38,35,41,6.1,1.12
Xi  Scl,1,1,18.3,-,38,55,0,5.59,1.18
Ups Phe,1,7,47.9,-,41,29,13,5.21,0.16
--,1,24,40.8,-,41,29,33,5.42,1.04
--,1,47,16.8,-,41,45,36,6.18,1.54
--,1,59,38.8,-,42,1,50,5.57,1.06
Phi Phe,1,54,22,-,42,29,49,5.11,-0.06
Gam Phe,1,28,21.9,-,43,19,6,3.41,1.57
--,1,24,41.9,-,44,31,42,6.26,1.14
Nu  Phe,1,15,11.1,-,45,31,53,4.96,0.58
--,1,31,39.1,-,45,34,32,6.17,0.06
Psi Phe,1,53,38.8,-,46,18,9,4.41,1.59
--,1,2,49.2,-,46,23,51,5.36,0.9
Bet Phe,1,6,5,-,46,43,7,3.31,0.89
--,1,29,30.4,-,46,45,23,6.31,1.66
--,1,57,10,-,47,23,6,4.83,0.88
--,1,50,20.2,-,47,48,59,6.14,1.01
Del Phe,1,31,15.1,-,49,4,22,3.95,0.99
--,1,32,36.3,-,49,43,40,6.28,0.46
--,1,41,41.1,-,50,2,20,6.64,0.12
--,1,50,54.5,-,50,12,22,5.94,0.14
--,1,46,5.8,-,50,48,59,5.49,1.6
Chi Eri,1,55,57.5,-,51,36,32,3.7,0.85
--,1,57,0.1,-,51,45,58,6.1,0.48
--,1,38,48.2,-,53,26,20,6.84,0.44
--,1,46,6.3,-,53,31,19,5.04,0.04
--,1,42,29.3,-,53,44,26,5.52,0.53
Zet Phe,1,8,23.1,-,55,14,45,3.92,-0.08
--,1,39,47.8,-,56,11,41,5.76,0.87
--,1,39,47.4,-,56,11,53,5.87,0.9
Ome Phe,1,2,1.8,-,57,0,9,6.11,0.94
Alp Eri,1,37,42.9,-,57,14,12,0.46,-0.16
--,1,10,7.4,-,57,41,40,6.41,0.89
--,1,35,15.2,-,58,8,22,6.01,0.38
--,1,36,44.8,-,58,16,15,6.18,1.61
--,1,41,48,-,60,47,22,5.71,1.27
--,1,55,46.4,-,60,51,41,6.06,0.37
Alp Hyi,1,58,46.2,-,61,34,11,2.86,0.28
Iot Tuc,1,7,18.7,-,61,46,31,5.37,0.88
--,1,25,5.3,-,64,22,10,5.93,1.56
--,1,57,53.6,-,65,25,29,6.37,0.9
--,1,2,42.9,-,65,27,22,6.21,1.64
--,1,59,41.1,-,66,3,59,6.1,1.17
--,1,17,3.6,-,66,23,53,6.24,0.05
Eta2Hyi,1,54,56.1,-,67,38,50,4.69,0.95
Kap Tuc,1,15,46.1,-,68,52,34,4.86,0.47
Sig Hyi,1,55,50.5,-,78,20,54,6.16,0.44
--,1,33,39.2,-,78,30,17,6.11,0.97
Tau1Hyi,1,41,21.3,-,79,8,54,6.33,0.94
Tau2Hyi,1,47,46.5,-,80,10,36,6.06,0.34
--,1,37,55.6,-,82,58,30,5.87,0.61
--,1,37,28,-,84,46,11,5.69,0.94
26    Cet,1,3,49,+,1,22,0,6.04,0.27
--,1,22,37,+,1,43,35,6.2,1.52
--,1,55,53.8,+,1,50,59,6.01,0.56
33    Cet,1,10,33.6,+,2,26,44,5.95,1.51
111Xi  Psc,1,53,33.3,+,3,11,15,4.62,0.94
--,1,26,53.5,+,3,32,7,6.58,-0.04
89    Psc,1,17,48,+,3,36,52,5.16,0.07
--,1,48,26,+,3,41,8,5.91,0.97
77    Psc,1,5,49.2,+,4,54,30,6.35,0.38
77    Psc,1,5,51.4,+,4,54,34,7.25,0.49
