n,h,m,s,znak,dd,dm,ds,mV,B-V
43Bet And,1,9,43.9,+,35,37,14,2.06,1.58
--,1,54,57.5,+,37,7,42,6.26,1.17
--,1,34,16.6,+,37,14,14,5.88,-0.07
56    And,1,56,9.3,+,37,15,6,5.67,1.06
--,1,55,54.4,+,37,16,40,5.89,1.63
--,1,18,47,+,37,23,10,6.46,0.23
47    And,1,23,40.6,+,37,42,54,5.58,0.26
45    And,1,11,10.3,+,37,43,27,5.81,-0.1
--,1,48,38.9,+,37,57,10,5.94,0.97
--,1,4,36.4,+,39,59,28,6.72,0.31
--,1,27,47,+,40,20,8,6.6,-0.04
53Tau And,1,40,34.8,+,40,34,37,4.94,-0.09
--,1,54,53.8,+,40,42,7,6.24,1.25
55    And,1,53,17.3,+,40,43,47,5.4,1.32
--,1,35,52.5,+,41,4,35,6.38,1.11
--,1,27,26.6,+,41,6,2,6.46,0.27
39    And,1,2,54.3,+,41,20,42,5.98,0.16
50Ups And,1,36,47.8,+,41,24,20,4.09,0.54
--,1,57,56.4,+,41,41,40,6.78,-0.06
44    And,1,10,18.8,+,42,4,53,5.65,0.6
--,1,41,47.2,+,42,36,49,4.95,0.62
--,1,40,39.8,+,43,17,52,5.61,0.21
--,1,26,18.6,+,43,27,28,5.96,0.49
41    And,1,8,0.9,+,43,56,31,5.03,0.11
52Chi And,1,39,21,+,44,23,10,4.98,0.89
--,1,0,3.6,+,44,42,48,6.04,-0.01
--,1,43,16.5,+,45,19,20,6.34,1.01
--,1,12,34,+,45,20,16,6.11,1.64
--,1,38,31.7,+,45,24,0,6.36,0.04
48Ome And,1,27,39.4,+,45,24,24,4.83,0.42
46Xi  And,1,22,20.4,+,45,31,44,4.88,1.08
--,1,47,48,+,46,13,47,6.32,0.43
49    And,1,30,6.2,+,47,0,26,5.27,1
42Phi And,1,9,30.2,+,47,14,31,4.25,-0.07
--,1,3,1.5,+,47,22,34,6.45,0.25
--,1,18,10.2,+,47,25,11,6.25,1.35
--,1,49,15.7,+,47,53,49,5.82,0.29
--,1,16,24.5,+,48,4,56,6.61,-0.05
51    And,1,37,59.6,+,48,37,42,3.57,1.28
--,1,36,27.2,+,48,43,22,5.92,1.21
3    Per,1,58,33.6,+,49,12,15,5.69,1.01
Phi Per,1,43,39.6,+,50,41,19,4.07,-0.04
2    Per,1,52,9.4,+,50,47,34,5.79,-0.07
--,1,4,46.8,+,51,0,36,6.54,-0.08
--,1,50,57.1,+,51,56,0,5.9,0.43
--,1,4,2.4,+,52,30,8,5.99,1.47
--,1,40,13.1,+,53,52,6,6.39,1.61
30Mu  Cas,1,8,16.4,+,54,55,13,5.17,0.69
1    Per,1,51,59.3,+,55,8,51,5.52,-0.18
33The Cas,1,11,6.2,+,55,8,59,4.33,0.17
--,1,53,48.5,+,55,35,53,6.45,0.18
--,1,7,0.2,+,56,56,6,6.43,1.18
--,1,44,46.1,+,57,5,21,6.25,0.04
--,1,44,17.9,+,57,32,11,6.21,0.1
--,1,38,7.6,+,57,58,39,5.56,1.38
34Phi Cas,1,20,4.9,+,58,13,54,4.98,0.68
--,1,8,33.3,+,58,15,49,5.79,-0.01
--,1,33,25.8,+,58,19,39,5.7,1.52
--,1,42,17.8,+,58,37,40,6.37,-0.02
39Chi Cas,1,33,55.9,+,59,13,55,4.71,1
37Del Cas,1,25,49,+,60,14,7,2.68,0.13
44    Cas,1,43,19.7,+,60,33,4,5.78,-0.02
--,1,42,3,+,61,2,18,6.71,-0.03
--,1,3,37,+,61,4,30,5.92,0.49
--,1,42,58.4,+,61,25,18,6.34,0.01
--,1,4,19.6,+,61,34,49,5.84,0.54
--,1,58,33.3,+,61,41,53,6.02,-0.04
--,1,13,9.9,+,61,42,21,6.41,0.01
--,1,6,22.8,+,62,45,42,6.54,0.19
45Eps Cas,1,54,23.7,+,63,40,12,3.38,-0.15
--,1,47,44.8,+,63,51,8,5.63,0.81
--,1,11,25.6,+,64,12,10,5.55,-0.07
--,1,59,38,+,64,37,17,5.26,0.01
35    Cas,1,21,5.2,+,64,39,30,6.34,0.09
32    Cas,1,11,41.4,+,65,1,8,5.57,-0.09
--,1,30,52.3,+,66,5,53,6.14,0.08
43    Cas,1,42,20.5,+,68,2,35,5.59,-0.07
36Psi Cas,1,25,56,+,68,7,48,4.74,1.05
46Ome Cas,1,56,0,+,68,41,7,4.99,-0.1
31    Cas,1,10,39.3,+,68,46,43,5.29,-0.02
38    Cas,1,31,13.8,+,70,15,53,5.81,0.47
42    Cas,1,42,55.9,+,70,37,21,5.18,-0.04
--,1,0,31,+,70,58,59,6.39,0.13
--,1,16,12.1,+,71,44,38,7.83,0.78
40    Cas,1,38,30.9,+,73,2,24,5.28,0.96
--,1,37,22.5,+,74,18,3,6.58,0.03
--,1,21,59.1,+,76,14,20,6.38,0.28
--,1,20,19.5,+,77,34,14,6.31,0.92
--,1,23,46.8,+,78,43,33,6.07,0.39
--,1,12,16.7,+,79,40,26,5.64,0.01
--,1,16,30.7,+,79,54,36,6.26,0.42
--,1,8,44.7,+,86,15,25,4.25,1.21
--,1,16,13.5,+,87,8,43,6.25,1.12
--,1,33,50.4,+,89,0,56,6.46,0.11
61    Cet,2,3,48.2,-,0,20,25,5.93,0.88
84    Cet,2,41,13.9,-,0,41,45,5.71,0.52
70    Cet,2,22,12.4,-,0,53,6,5.42,0.31
75    Cet,2,32,9.4,-,1,2,6,5.35,1.02
63    Cet,2,11,35.8,-,1,49,31,5.93,0.97
66    Cet,2,12,47.5,-,2,23,37,5.54,0.57
5    Eri,2,59,41.2,-,2,27,54,5.56,-0.08
71    Cet,2,24,58.4,-,2,46,48,6.33,0
--,2,58,42,-,2,46,57,5.23,0
68Omi Cet,2,19,20.7,-,2,58,39,3.04,1.42
--,2,41,48.3,-,3,12,48,6.05,1.17
81    Cet,2,37,41.8,-,3,23,46,5.65,1.02
--,2,56,37.4,-,3,42,44,5.17,0.08
--,2,3,40.5,-,4,6,13,5.62,1.59
--,2,19,40.8,-,4,20,44,6.5,0.08
67    Cet,2,16,59,-,6,25,20,5.51,0.96
80    Cet,2,36,0,-,7,49,54,5.53,1.59
77    Cet,2,34,42.7,-,7,51,34,5.75,1.4
--,2,0,26.9,-,8,31,25,5.51,1.52
3Eta Eri,2,56,25.7,-,8,53,53,3.89,1.11
--,2,52,50.5,-,9,26,28,6.32,0.19
--,2,40,12.3,-,9,27,11,5.78,0.52
--,2,15,28.3,-,9,27,56,6.55,-0.02
--,2,58,47.4,-,9,46,35,6.14,0.22
--,2,11,22.2,-,10,3,8,6.01,0.39
--,2,22,1.4,-,10,46,40,5.46,0.35
83Eps Cet,2,39,33.8,-,11,52,20,4.84,0.45
72Rho Cet,2,25,57,-,12,17,26,4.89,-0.03
--,2,47,56,-,12,27,38,6.9,1.56
--,2,52,32.1,-,12,46,10,6.04,0.87
89Pi  Cet,2,44,7.4,-,13,51,31,4.25,-0.14
--,2,41,34,-,14,32,58,5.98,0.43
76Sig Cet,2,32,5.2,-,15,14,41,4.75,0.45
--,2,2,58.6,-,15,18,21,5.86,0.98
--,2,26,0.3,-,15,20,28,5.83,0.15
--,2,22,5,-,17,39,44,5.87,1.23
--,2,8,45.7,-,17,46,46,6.1,1.61
--,2,22,57.8,-,18,21,16,6.22,0.94
1Tau1Eri,2,45,6.2,-,18,34,21,4.47,0.48
--,2,33,40.2,-,20,0,7,6.21,1.1
--,2,26,35.2,-,20,2,34,5.88,1.26
--,2,13,0.9,-,21,0,1,5.86,1.01
2Tau2Eri,2,51,2.3,-,21,0,15,4.75,0.91
59Ups Cet,2,0,0.3,-,21,4,40,4,1.57
--,2,46,45.2,-,21,38,23,6.49,0.38
--,2,53,35.3,-,22,22,35,5.95,1.04
--,2,47,11.2,-,22,29,8,6.47,0.39
--,2,30,32.8,-,22,32,44,6.1,1.61
--,2,29,55.4,-,22,40,58,6.77,0.19
6    Eri,2,58,5.7,-,23,36,22,5.84,1.33
Kap For,2,22,32.6,-,23,48,59,5.2,0.6
4    Eri,2,57,23.7,-,23,51,43,5.45,0.23
--,2,9,34.8,-,24,20,45,6.48,0.29
Gam1For,2,49,51,-,24,33,37,6.14,1.07
--,2,30,13.8,-,25,11,11,6.51,0.29
Zet For,2,59,36.1,-,25,16,27,5.71,0.4
--,2,24,20.1,-,25,50,51,6.44,1.32
--,2,18,58.5,-,25,56,44,6.34,0.73
Gam2For,2,49,54.2,-,27,56,30,5.39,0.02
Ome For,2,33,50.7,-,28,13,57,4.9,-0.05
--,2,59,6.6,-,28,54,25,6.14,1.04
Nu  For,2,4,29.4,-,29,17,49,4.69,-0.17
--,2,2,28.1,-,29,39,54,6.42,0.14
--,2,57,13.1,-,29,51,19,6.29,0.47
Pi  For,2,1,14.7,-,30,0,6,5.35,0.88
Iot1For,2,36,9.3,-,30,2,41,5.75,1.02
Iot2For,2,38,18.7,-,30,11,39,5.83,0.48
--,2,40,2.5,-,30,38,2,6.52,1.04
Mu  For,2,12,54.5,-,30,43,26,5.28,-0.02
--,2,51,55.3,-,30,48,52,6.4,0.48
--,2,28,35.4,-,31,6,9,6.11,1.11
Bet For,2,49,5.4,-,32,24,21,4.46,0.99
--,2,59,38.3,-,32,30,26,6.31,0
--,2,44,20.5,-,32,31,30,6.22,0.04
Phi For,2,28,1.7,-,33,48,40,5.14,0.1
Lam2For,2,36,58.6,-,34,34,42,5.79,0.66
Lam1For,2,33,7,-,34,39,0,5.9,1.06
Eta1For,2,47,33.7,-,35,33,3,6.51,0.96
Eta3For,2,50,40.4,-,35,40,34,5.47,1.25
Eta2For,2,50,14.8,-,35,50,37,5.92,0.9
--,2,32,14.8,-,36,25,39,6.3,1.02
--,2,23,6.5,-,37,34,35,6.53,1.61
--,2,38,24.8,-,37,59,26,6.49,0.52
--,2,57,32.7,-,38,11,28,6.41,-0.03
--,2,42,6.6,-,38,23,2,6.01,0.92
Psi For,2,53,34.4,-,38,26,13,5.92,0.44
Iot Eri,2,40,40,-,39,51,20,4.11,1.02
--,2,50,47.9,-,39,55,54,6.36,0.05
The2Eri,2,58,16.3,-,40,18,16,4.35,0.08
The1Eri,2,58,15.7,-,40,18,17,3.24,0.14
--,2,43,20.3,-,40,31,39,6.36,-0.02
--,2,24,33.8,-,40,50,26,6.18,0.66
--,2,14,32,-,41,10,0,5.91,0.97
--,2,19,24.7,-,41,50,54,6.37,1.16
--,2,39,48,-,42,53,30,4.75,0.06
--,2,22,11.8,-,43,12,0,6.31,1
--,2,9,9.3,-,43,31,0,5.85,1.19
--,2,10,4.9,-,43,48,56,6.32,0.9
Chi Phe,2,1,42.4,-,44,42,49,5.14,1.49
--,2,45,16.5,-,46,17,14,6.85,1.36
--,2,42,8.5,-,46,31,28,6.1,0.88
Kap Eri,2,26,59.1,-,47,42,14,4.25,-0.14
--,2,53,52.9,-,49,53,25,4,2.11
Iot Hor,2,42,33.5,-,50,48,1,5.41,0.56
--,2,10,25.6,-,50,49,28,6.12,0.82
--,2,54,6.5,-,50,52,17,6.21,1.58
--,2,22,54.6,-,51,5,32,5.92,0.22
--,2,33,54.6,-,51,5,37,6.24,0.52
Phi Eri,2,16,30.6,-,51,30,44,3.56,-0.12
Eta Hor,2,37,24.4,-,52,32,35,5.31,0.27
--,2,44,10.7,-,52,34,14,6.15,0.09
Zet Hor,2,40,39.6,-,54,33,0,5.21,0.4
--,2,19,54.3,-,55,56,41,5.81,1.55
Lam Hor,2,24,53.9,-,60,18,43,5.35,0.39
--,2,33,33.6,-,62,35,13,6.77,-0.06
Nu  Hor,2,49,1.5,-,62,48,24,5.26,0.1
--,2,52,19.2,-,62,54,35,6.03,1.25
Gam Hor,2,45,27.5,-,63,42,16,5.74,0.93
Bet Hor,2,58,47.8,-,64,4,17,4.99,0.13
--,2,39,31.7,-,64,16,55,6.55,-0.08
--,2,28,4.4,-,64,17,59,6.37,-0.04
--,2,54,20.9,-,64,26,8,6.56,1.39
--,2,25,26.3,-,66,29,41,6.41,1.54
--,2,43,26.6,-,66,42,52,6.26,0.53
Zet Hyi,2,45,32.6,-,67,37,0,4.84,0.06
Pi 2Hyi,2,15,28.5,-,67,44,47,5.69,1.3
Pi 1Hyi,2,14,14.7,-,67,50,30,5.55,1.55
Eps Hyi,2,39,35.4,-,68,16,1,4.11,-0.06
Del Hyi,2,21,44.9,-,68,39,34,4.09,0.03
Kap Hyi,2,22,52.3,-,73,38,45,5.01,1.09
Nu  Hyi,2,50,28.5,-,75,4,1,4.75,1.33
Mu  Hyi,2,31,40.5,-,79,6,34,5.28,0.98
--,2,6,29.3,+,0,2,6,6.28,0.9
60    Cet,2,3,11.7,+,0,7,42,5.43,0.15
--,2,30,45.2,+,0,15,19,6,0.17
82Del Cet,2,39,29,+,0,19,43,4.07,-0.22
69    Cet,2,21,56.6,+,0,23,45,5.28,1.65
--,2,18,1.4,+,1,45,28,5.58,0.6
--,2,28,0,+,1,57,39,6.45,0.97
--,2,31,30.1,+,2,16,2,5.25,1.27
113Alp Psc,2,2,2.8,+,2,45,49,4.33,0.03
112    Psc,2,0,9.2,+,3,5,50,5.88,0.62
86Gam Cet,2,43,18,+,3,14,9,3.47,0.09
--,2,38,36.9,+,3,26,35,6.21,1
--,2,57,4.6,+,4,30,4,6.11,1.69
--,2,45,20.9,+,4,42,42,6.03,0.31
78Nu  Cet,2,35,52.5,+,5,35,36,4.86,0.87
--,2,40,15.7,+,6,6,43,6.25,0.4
--,2,36,4.9,+,6,53,13,5.82,0.98
--,2,35,4.1,+,7,28,17,6.18,1.06
--,2,38,0.8,+,7,41,43,6.39,0.44
--,2,36,35.1,+,7,43,47,5.81,1.04
--,2,6,12.3,+,8,14,51,6.31,1.65
--,2,56,13.8,+,8,22,54,5.97,0.48
73Xi 2Cet,2,28,9.5,+,8,27,36,4.28,-0.06
64    Cet,2,11,21.1,+,8,34,11,5.63,0.56
65Xi 1Cet,2,13,0,+,8,50,48,4.37,0.89
91Lam Cet,2,59,42.9,+,8,54,27,4.7,-0.12
--,2,29,35.3,+,9,33,57,6.07,1.02
87Mu  Cet,2,44,56.5,+,10,6,51,4.27,0.31
24Xi  Ari,2,24,49,+,10,36,38,5.47,-0.1
--,2,42,28.9,+,10,44,30,6.3,0.06
38    Ari,2,44,57.6,+,12,26,45,5.18,0.24
31    Ari,2,36,37.9,+,12,26,51,5.68,0.49
--,2,2,35.2,+,13,28,36,5.94,1.59
29    Ari,2,32,54.1,+,15,2,5,6.04,0.54
43Sig Ari,2,51,29.6,+,15,4,55,5.49,-0.09
19    Ari,2,13,3.3,+,15,16,47,5.71,1.55
37Omi Ari,2,44,32.9,+,15,18,42,5.77,-0.01
42Pi  Ari,2,49,17.5,+,17,27,51,5.22,-0.06
27    Ari,2,30,54.4,+,17,42,14,6.23,0.9
36    Ari,2,44,19.1,+,17,45,50,6.46,1.07
46Rho3Ari,2,56,26.1,+,18,1,23,5.63,0.43
--,2,3,42.6,+,18,15,12,6.21,1.42
40    Ari,2,48,32.1,+,18,17,1,5.82,1.2
45Rho2Ari,2,55,48.5,+,18,19,54,5.91,1.47
15    Ari,2,10,37.6,+,19,30,1,5.7,1.65
26    Ari,2,30,38.4,+,19,51,19,6.15,0.25
22The Ari,2,18,7.5,+,19,54,4,5.62,0.01
34Mu  Ari,2,42,22,+,20,0,42,5.69,-0.02
47    Ari,2,58,5.2,+,20,40,7,5.8,0.41
17Eta Ari,2,12,48.1,+,21,12,39,5.27,0.43
48Eps Ari,2,59,12.7,+,21,20,25,4.63,0.04
48Eps Ari,2,59,12.7,+,21,20,25,4.63,0.04
32Nu  Ari,2,38,49,+,21,57,41,5.43,0.16
12Kap Ari,2,6,33.9,+,22,38,54,5.03,0.11
--,2,18,58,+,23,10,4,6.46,0.34
13Alp Ari,2,7,10.4,+,23,27,45,2,1.15
--,2,29,13.6,+,23,28,8,6.19,0.15
--,2,17,10.4,+,23,46,4,6.55,1.02
--,2,12,37.5,+,24,10,4,5.96,1.37
30    Ari,2,37,0.5,+,24,38,51,6.5,0.41
30    Ari,2,36,57.7,+,24,38,54,7.09,0.5
21    Ari,2,15,42.8,+,25,2,35,5.58,0.49
--,2,48,45.9,+,25,11,17,5.86,-0.07
--,2,30,32.4,+,25,14,6,5.92,0.41
--,2,43,51.2,+,25,38,17,6.35,0.08
11    Ari,2,6,49.2,+,25,42,17,6.15,-0.03
20    Ari,2,15,46,+,25,46,59,5.79,0.44
10    Ari,2,3,39.3,+,25,56,8,5.63,0.54
16    Ari,2,11,12,+,25,56,13,6.02,1.36
14    Ari,2,9,25.3,+,25,56,23,4.98,0.33
--,2,27,7,+,27,0,48,6.18,1.43
33    Ari,2,40,41.1,+,27,3,39,5.3,0.09
41    Ari,2,49,59,+,27,15,38,3.63,-0.1
35    Ari,2,43,27.1,+,27,42,26,4.66,-0.13
10    Tri,2,18,57,+,28,38,33,5.03,0.04
39    Ari,2,47,54.5,+,29,14,50,4.51,1.11
13    Tri,2,28,48.5,+,29,55,55,5.89,0.58
6    Tri,2,12,22.3,+,30,18,11,4.94,0.78
5    Tri,2,11,25,+,31,31,35,6.23,0.11
--,2,36,42.9,+,31,36,27,6.1,1.05
11    Tri,2,27,27.7,+,31,48,5,5.54,1.12
21    Per,2,57,17.3,+,31,56,3,5.11,-0.01
--,2,37,6.4,+,32,53,31,6.25,0.48
3Eps Tri,2,2,58,+,33,17,2,5.5,0.03
7    Tri,2,15,56.2,+,33,21,32,5.28,-0.01
--,2,30,16.6,+,33,50,2,6.25,1.07
9Gam Tri,2,17,18.9,+,33,50,50,4.01,0.02
8Del Tri,2,17,3.2,+,34,13,27,4.87,0.61
--,2,37,2.5,+,34,15,50,5.3,1.55
--,2,32,52.5,+,34,32,33,5.83,1.07
15    Tri,2,35,46.8,+,34,41,15,5.35,1.66
4Bet Tri,2,9,32.6,+,34,59,14,3,0.14
17    Per,2,51,30.8,+,35,3,35,4.53,1.56
24    Per,2,59,3.7,+,35,10,59,4.93,1.23
--,2,46,58.3,+,35,59,1,6.25,0.93
14    Tri,2,32,6.2,+,36,8,50,5.15,1.47
--,2,35,38.8,+,37,18,44,5.71,1.39
--,2,49,27.1,+,37,19,34,6.45,0.43
--,2,38,17.8,+,37,43,36,6.18,0.47
58    And,2,8,29.3,+,37,51,33,4.82,0.12
--,2,38,27.8,+,38,5,22,6.3,-0.03
16    Per,2,50,35.1,+,38,19,7,4.23,0.34
20    Per,2,53,42.6,+,38,20,15,5.33,0.41
--,2,58,2.3,+,38,36,54,6.04,1.41
--,2,36,57.2,+,38,43,58,5.9,0.48
59    And,2,10,52.8,+,39,2,22,5.63,-0.02
59    And,2,10,53.7,+,39,2,35,6.1,-0.07
22Pi  Per,2,58,45.7,+,39,39,46,4.7,0.06
--,2,35,27.9,+,39,39,52,6.36,-0.1
--,2,19,37.3,+,39,50,6,6.63,-0.09
--,2,37,20.8,+,39,53,45,6.54,-0.12
12    Per,2,42,14.9,+,40,11,38,4.91,0.59
--,2,59,39.9,+,41,1,59,5.89,1.44
--,2,22,50.3,+,41,23,47,5.82,0.27
57Gam1And,2,3,54,+,42,19,47,2.26,1.37
57Gam2And,2,3,54.7,+,42,19,51,4.84,0.03
60    And,2,13,13.3,+,44,13,54,4.83,1.48
14    Per,2,44,5.2,+,44,17,49,5.43,0.9
--,2,51,41.7,+,46,50,31,5.88,0.89
--,2,56,33.4,+,47,9,50,6.02,1.34
--,2,59,49.9,+,47,13,15,5.47,0.89
--,2,20,41.4,+,47,18,39,6.11,-0.08
62    And,2,19,16.8,+,47,22,48,5.3,-0.01
--,2,14,2.6,+,47,29,3,6.06,0.4
--,2,53,21.2,+,48,34,10,6.26,1.18
13The Per,2,44,12,+,49,13,42,4.12,0.49
64    And,2,24,24.9,+,50,0,24,5.19,0.98
63    And,2,20,58.2,+,50,9,5,5.59,-0.13
65    And,2,25,37.4,+,50,16,43,4.71,1.53
66    And,2,27,51.8,+,50,34,11,6.12,0.41
--,2,13,36.3,+,51,3,57,5.31,0.93
--,2,56,50.6,+,51,15,39,6.22,1.57
18Tau Per,2,54,15.5,+,52,45,45,3.95,0.74
--,2,52,52,+,52,59,52,6.36,0.07
--,2,42,59.7,+,53,31,34,5.84,1.12
--,2,10,7.8,+,53,50,35,6.31,0.95
4    Per,2,2,18.1,+,54,29,15,5.04,-0.08
11    Per,2,43,2.8,+,55,6,21,5.77,-0.13
--,2,23,51.8,+,55,21,52,6.28,0.86
--,2,29,25,+,55,32,11,6.51,0.09
9    Per,2,22,21.4,+,55,50,44,5.17,0.37
15Eta Per,2,50,41.8,+,55,53,44,3.76,1.68
10    Per,2,25,16,+,56,36,36,6.25,0.31
--,2,16,51.7,+,57,3,19,6.48,0.28
--,2,49,30.8,+,57,5,3,6.25,0.89
7    Per,2,18,4.5,+,57,31,0,5.98,1.05
5    Per,2,11,29,+,57,38,45,6.36,0.33
8    Per,2,17,59.9,+,57,53,59,5.75,1.17
--,2,51,45.5,+,58,18,53,6.45,0.1
--,2,8,40.5,+,58,25,25,5.67,0.61
--,2,13,41.5,+,58,33,40,6.44,0.6
--,2,55,56.9,+,61,31,16,5.59,0.45
--,2,56,24.8,+,64,19,57,6.24,2.03
--,2,20,12.9,+,64,20,14,6.6,-0.03
53    Cas,2,3,0.3,+,64,23,24,5.58,0.38
52    Cas,2,2,52.7,+,64,54,5,6,0.03
--,2,4,40.1,+,65,6,12,6.52,0
--,2,37,36.1,+,65,44,44,5.78,1.56
55    Cas,2,14,29.1,+,66,31,28,6.07,0.63
Iot Cas,2,29,4,+,67,24,9,4.52,0.12
--,2,44,49.7,+,67,49,29,5.95,0.1
--,2,51,58.7,+,68,53,19,5.8,0.64
--,2,48,55.5,+,69,38,3,6.18,0.18
48    Cas,2,1,57.4,+,70,54,25,4.54,0.16
50    Cas,2,3,26.1,+,72,25,17,3.98,-0.01
--,2,38,2,+,72,49,6,5.16,0.88
--,2,13,21.2,+,74,1,40,6.29,0.91
49    Cas,2,5,31.2,+,76,6,54,5.22,0.95
47    Cas,2,5,7.4,+,77,16,53,5.38,0.31
--,2,2,57.2,+,77,54,59,6.04,1.14
--,2,9,25.3,+,81,17,45,6.05,0.11
--,2,47,47.6,+,81,26,54,5.78,1.3
1Alp UMi,2,31,48.7,+,89,15,51,2.02,0.6
25    Eri,3,44,56.5,-,0,17,48,5.55,1.42
95    Cet,3,18,22.4,-,0,55,49,5.38,1.04
--,3,39,59.5,-,1,7,14,6.12,1
24    Eri,3,44,30.5,-,1,9,47,5.25,-0.1
94    Cet,3,12,46.4,-,1,11,46,5.06,0.57
7    Eri,3,0,51,-,2,52,43,6.11,1.77
32    Eri,3,54,17.4,-,2,57,10,6.14,0.09
32    Eri,3,54,17.5,-,2,57,17,4.79,0.94
--,3,39,38.3,-,3,23,35,6.23,1.04
--,3,11,18.8,-,3,48,42,6.05,1.66
17    Eri,3,30,37.1,-,5,4,31,4.73,-0.09
22    Eri,3,40,38.3,-,5,12,38,5.53,-0.15
30    Eri,3,52,41.6,-,5,21,41,5.48,-0.1
--,3,58,52.3,-,5,28,12,5.83,1
21    Eri,3,39,1.1,-,5,37,34,5.96,0.92
--,3,16,0.9,-,5,55,7,6.17,-0.02
--,3,6,33.5,-,6,5,19,5.27,1.6
--,3,2,9.3,-,6,29,41,6.19,0.6
--,3,29,39.1,-,6,48,18,5.99,1.02
--,3,38,29.2,-,7,23,30,5.85,0.98
10Rho3Eri,3,4,16.4,-,7,36,3,5.26,0.2
8Rho1Eri,3,1,10,-,7,39,46,5.75,1.05
9Rho2Eri,3,2,42.3,-,7,41,7,5.32,0.94
--,3,23,17.8,-,7,47,39,6.2,0.7
13Zet Eri,3,15,50,-,8,49,11,4.8,0.23
14    Eri,3,16,35.7,-,9,9,16,6.14,0.4
18Eps Eri,3,32,55.8,-,9,27,30,3.73,0.88
--,3,56,37.9,-,9,45,3,6.19,0.28
23Del Eri,3,43,14.9,-,9,45,48,3.54,0.92
--,3,34,37.4,-,9,52,7,6.25,0.02
--,3,1,56.1,-,9,57,41,5.83,1.11
--,3,39,25.4,-,10,26,14,6.19,1.03
--,3,43,33.8,-,10,29,8,5.6,0.22
--,3,35,57.7,-,11,11,37,5.57,0.91
--,3,28,1,-,11,17,12,5.73,1.1
--,3,41,13.8,-,11,48,11,6.49,0.36
--,3,55,16.3,-,12,5,57,6,0.32
26Pi  Eri,3,46,8.5,-,12,6,6,4.42,1.63
--,3,59,30.1,-,12,34,27,5.6,1.48
--,3,29,36,-,12,40,29,5.59,0.17
34Gam Eri,3,58,1.8,-,13,30,31,2.95,1.59
--,3,40,11.4,-,15,13,36,6.33,0.88
--,3,11,16.8,-,16,1,31,6.26,1.2
20    Eri,3,36,17.4,-,17,28,1,5.23,-0.13
--,3,53,13,-,18,26,4,6.22,0.88
--,3,18,41.2,-,18,33,35,5.71,0.37
--,3,41,22.4,-,19,35,5,6.59,0.09
--,3,48,35.8,-,20,54,11,5.81,1.64
19Tau5Eri,3,33,47.3,-,21,37,58,4.27,-0.11
16Tau4Eri,3,19,31,-,21,45,28,3.69,1.62
15    Eri,3,18,22.1,-,22,30,41,4.88,0.9
27Tau6Eri,3,46,50.9,-,23,14,59,4.23,0.42
11Tau3Eri,3,2,23.5,-,23,37,28,4.09,0.16
--,3,21,24,-,23,38,7,5.52,0.88
--,3,10,35.4,-,23,44,18,6.38,0.93
28Tau7Eri,3,47,39.6,-,23,52,29,5.24,0.07
36Tau9Eri,3,59,55.5,-,24,0,59,4.66,-0.13
--,3,19,34.8,-,24,7,23,5.61,1.66
33Tau8Eri,3,53,42.6,-,24,36,45,4.65,-0.13
--,3,22,16.3,-,25,35,16,6.35,0.01
--,3,31,53.9,-,25,36,51,6.38,0.12
--,3,15,0.2,-,26,6,1,6.25,0.04
--,3,20,45.2,-,26,36,23,6.39,0.54
--,3,26,22.5,-,27,19,3,5.93,0.94
--,3,7,50.9,-,27,49,52,6.19,0.16
Tau For,3,38,47.7,-,27,56,35,6.01,-0.02
Eps For,3,1,37.7,-,28,5,30,5.89,0.79
--,3,18,2.8,-,28,47,49,5.91,0.33
Alp For,3,12,4.3,-,28,59,13,3.87,0.52
Sig For,3,46,27.4,-,29,20,17,5.9,0.12
--,3,13,38,-,29,48,15,6.16,1.05
--,3,47,20.1,-,29,54,7,6.55,0.49
Rho For,3,47,56,-,30,10,4,5.54,0.98
--,3,16,11.3,-,30,49,39,6.65,-0.07
--,3,33,56.8,-,31,4,49,6.2,0.48
--,3,34,33.5,-,31,52,29,6.4,1.4
Del For,3,42,14.9,-,31,56,18,5,-0.16
--,3,23,44.6,-,32,42,26,6.5,1.37
--,3,53,38.9,-,34,43,56,5.11,-0.13
Chi2For,3,27,33.4,-,35,40,53,5.71,1.29
Chi3For,3,28,11.5,-,35,51,12,6.5,0.13
Chi1For,3,25,55.8,-,35,55,15,6.39,0.08
--,3,13,1.5,-,35,56,38,6.27,-0.08
--,3,47,49.6,-,36,6,21,6.21,-0.1
--,3,49,27.3,-,36,12,1,4.17,0.95
--,3,50,37.6,-,36,25,31,6.86,-0.04
--,3,42,50.1,-,37,18,49,4.59,1.2
--,3,48,35.9,-,37,37,14,4.73,-0.03
--,3,48,35.4,-,37,37,20,5.4,0.01
--,3,37,5.7,-,40,16,29,4.58,1.04
--,3,54,23.2,-,40,21,26,5.71,0.6
--,3,44,6.2,-,40,39,37,6.45,1.06
--,3,30,13.6,-,41,22,12,6.12,0.48
--,3,26,11.7,-,41,38,13,6.32,0.06
--,3,29,55,-,42,38,3,5.78,0.22
--,3,19,55.7,-,43,4,11,4.27,0.71
--,3,12,25.8,-,44,25,11,5.93,0.44
--,3,53,33.3,-,46,53,37,5.93,1.24
--,3,2,55.9,-,46,58,30,5.82,1.3
--,3,45,15.8,-,47,21,35,5.73,0.96
